因子,阶段,RankIC,ICIR,单因子超额年化,单因子超额Sharpe,单因子绝对年化,单因子最大回撤
medium_momentum,train,-0.010325,-0.0664,-0.287274,-0.98,-0.27293,-0.669329
medium_momentum,validation,-0.00806,-0.0522,-0.278096,-1.0973,0.210357,-0.185144
medium_momentum,test,-0.003108,-0.0209,-0.073353,-0.0201,-0.253986,-0.353479
trend_quality,train,-0.015128,-0.0961,-0.215228,-0.6316,-0.194901,-0.591918
trend_quality,validation,-0.006672,-0.0487,-0.325279,-1.412,0.131834,-0.139308
trend_quality,test,0.001992,0.0126,-0.00388,0.1756,-0.199494,-0.368216
multi_period_consistency,train,-0.055097,-0.46,-0.569739,-2.2702,-0.549477,-0.886476
multi_period_consistency,validation,-0.063519,-0.5732,-0.129538,-0.1883,0.455417,-0.197796
multi_period_consistency,test,0.012587,0.0922,0.153473,0.5355,-0.06609,-0.263895
path_efficiency,train,-0.045333,-0.3901,-0.561618,-2.2545,-0.543016,-0.883835
path_efficiency,validation,-0.060734,-0.6081,-0.23785,-0.5489,0.273514,-0.210275
path_efficiency,test,-0.009119,-0.0746,0.127527,0.4902,-0.084917,-0.31932
downside_risk_control,train,0.078887,0.358,-0.014442,0.0631,0.065817,-0.137839
downside_risk_control,validation,0.027606,0.1509,-0.402297,-3.4464,0.026566,-0.06228
downside_risk_control,test,0.024488,0.139,-0.106799,-0.4317,-0.249408,-0.157
drawdown_control,train,-0.001132,-0.007,-0.568222,-3.015,-0.552266,-0.910126
drawdown_control,validation,-0.035049,-0.2549,-0.585201,-4.5071,-0.296435,-0.327194
drawdown_control,test,0.048118,0.4723,0.126963,0.4982,-0.082759,-0.265735
