因子,阶段,RankIC,ICIR,单因子超额年化,单因子超额Sharpe,单因子绝对年化,单因子最大回撤
medium_momentum,train,-0.042785,-0.308,-0.329761,-1.0561,-0.331117,-0.725508
medium_momentum,validation,-0.037137,-0.265,-0.530772,-3.7086,-0.255808,-0.355118
medium_momentum,test,0.007361,0.0359,0.098185,0.4159,-0.273039,-0.374809
trend_quality,train,-0.036553,-0.2869,-0.225995,-0.7238,-0.232113,-0.621045
trend_quality,validation,-0.037864,-0.2658,-0.472464,-4.3502,-0.16979,-0.280675
trend_quality,test,0.025566,0.1249,0.010665,0.2771,-0.337051,-0.379545
multi_period_consistency,train,-0.05252,-0.4177,-0.446545,-1.6611,-0.441569,-0.752914
multi_period_consistency,validation,-0.087418,-0.7217,-0.342084,-1.5606,0.020129,-0.225833
multi_period_consistency,test,0.013631,0.0601,0.466763,0.887,-0.03436,-0.370931
path_efficiency,train,-0.045291,-0.4128,-0.377292,-1.2373,-0.376771,-0.669655
path_efficiency,validation,-0.088825,-0.9011,-0.255559,-0.8455,0.162405,-0.176384
path_efficiency,test,-0.015064,-0.0783,0.642253,1.0647,0.076466,-0.365717
downside_risk_control,train,0.149007,0.776,0.088459,0.5065,0.121982,-0.107294
downside_risk_control,validation,0.059888,0.3135,-0.371704,-2.1649,0.020937,-0.052821
downside_risk_control,test,-0.003747,-0.0164,0.006931,0.1313,-0.247424,-0.154937
drawdown_control,train,0.03742,0.2638,-0.337297,-1.6424,-0.34404,-0.72204
drawdown_control,validation,-0.021318,-0.2169,-0.354409,-2.0509,0.020277,-0.182639
drawdown_control,test,0.039678,0.2642,0.113095,0.4442,-0.248127,-0.302541
